의결일,사건번호,의결번호,조치,사건명,수집키워드
2026-04-09,2024서소0278,의결2026-055,과징금,(주)제이월드산업의 부당한 표시광고행위에 대한 건,환경
2026-03-02,2025서소0882,약식2026-020,시정명령,브렝땅의 부당한 광고행위에 대한 건,환경
2026-02-25,2025서소0391,약식2026-017,원안의결,(주)바이포엠스튜디오의 부당한 광고행위에 대한 건,환경
2025-07-18,2023가조2081,의결2025-154,경고,(주)다름플러스의 가맹사업법 등 위반행위에 대한 건,환경
2025-07-18,2023가조1685,의결2025-154,경고,(주)다름플러스의 가맹사업법 등 위반행위에 대한 건,환경
2025-04-14,2024구사0058,약식2025-053,시정명령,(주)포스코 및 포스코홀딩스(주)의 부당한 광고행위에 대한 건,환경
2025-04-09,2021전자1869,의결2025-063,과징금,(주)에듀윌의 부당한 표시·광고행위 및 전자상거래소비자보호법 위반 행위에 대한 건,환경
2025-03-11,2022서감1877,의결2025-043,과징금,(주)카카오엔터테인먼트의 부당한 광고행위에 대한 건,환경
2025-03-06,2024서소0064,의결2025-036,시정명령,(주)에이스침대의 부당한 표시광고행위에 대한 건,환경
2025-01-24,2022안정1262,의결2025-010,시정명령,네이버(주)의 부당한 광고행위에 대한 건,환경
2025-01-10,2021전자1867,의결2025-005,과징금,메가스터디교육(주)의 부당한 광고행위 및 전자상거래소비자보호법 위반 행위에 대한 건,환경
2025-01-10,2021전자1870,의결2025-004,과징금,(주)챔프스터디의 부당한 광고행위에 대한 건,환경
2024-12-24,2021서소1611,의결2024-365,과징금,(주)에스티유니타스의 부당한 광고행위에 대한 건,환경
2024-11-27,2023안정0437,약식2024-118,시정명령,(주)아이즈커뮤니케이션즈의 부당한 광고행위에 대한 건,환경
2024-11-27,2023안정0438,약식2024-119,시정명령,(주)퀸즈코퍼레이션의 부당한 광고행위에 대한 건,환경
2024-10-23,2023전자0981,의결2024-331,과징금,부킹닷컴비브이의 부당한 광고행위에 대한 건,환경
2024-05-30,2023제감1986,의결2024-222,인용,(주)현대엘앤씨의 부당한 광고행위에 대한 건 관련 과징금 재산정 및 부과에 대한 건,그린
2024-05-22,2022안정0371,약식2024-068,시정명령,현일의 부당한 광고행위에 대한 건,환경
2024-05-22,2022안정0370,약식2024-069,시정명령,퓨어하임의 부당한 광고행위에 대한 건,환경
2024-05-22,2022안정0372,약식2024-067,시정명령,칼리코의 부당한 광고행위에 대한 건,환경
2024-05-22,2022안정0366,약식2024-070,시정명령,삼화페인트공업(주)의 부당한 표시·광고행위에 대한 건,환경
