date,ref,outcome,company,keyword,url
2026-07-01,A26-1328653,Upheld,Videoslots Ltd,green,https://www.asa.org.uk/rulings/videoslots-ltd-a26-1328653-videoslots-ltd.html
2026-06-24,A26-1327724,Upheld,Calvin Klein Europe BV,environmental,https://www.asa.org.uk/rulings/calvin-klein-europe-bv--a26-1327724-calvin-klein-europe-bv.html
2026-06-24,A26-1327728,Upheld,Adidas UK Ltd,environmental,https://www.asa.org.uk/rulings/adidas-uk-ltd-a26-1327728-adidas-uk-ltd.html
2026-06-24,A26-1327727,Upheld,Uniqlo (UK) Ltd,environmental,https://www.asa.org.uk/rulings/uniqlo--uk--ltd-a26-1327727-uniqlo--uk--ltd.html
2026-06-24,A26-1325493,Upheld,Microsoft Ltd,green,https://www.asa.org.uk/rulings/microsoft-ltd-a26-1325493-microsoft-ltd.html
2026-06-24,G26-1332433,Upheld,Patisserie Valerie Production Ltd,green,https://www.asa.org.uk/rulings/patisserie-valerie-production-ltd-g26-1332433-patisserie-valerie-production-ltd.html
2026-06-24,A26-1325179,Upheld,The Clean Supps LLC,sustainable,https://www.asa.org.uk/rulings/the-clean-supps-llc-a26-1325179-the-clean-supps-llc.html
2026-06-17,A26-1327464,Upheld,HealthTracker Apps,green,https://www.asa.org.uk/rulings/healthtracker-apps-a26-1327464-healthtracker-apps.html
2026-06-17,A25-1319054,Upheld,This is Enough Ltd,climate,https://www.asa.org.uk/rulings/this-is-enough-ltd-a25-1319054-this-is-enough-ltd.html
2026-06-03,G26-1324500,Upheld,Brighton & Hove City Council,carbon,https://www.asa.org.uk/rulings/brighton---hove-city-council-g26-1324500-brighton---hove-city-council.html
2026-05-27,A25-1321217,Upheld,Menwell Ltd,green,https://www.asa.org.uk/rulings/menwell-ltd-a25-1321217-menwell-ltd.html
2026-05-27,A25-1319927,Upheld,Betway Ltd,sustainable,https://www.asa.org.uk/rulings/betway-ltd-a25-1319927-betway-ltd.html
2026-05-20,A26-1326171,Upheld,DBZ Marketplace Online Ltd,green,https://www.asa.org.uk/rulings/dbz-marketplace-online-ltd--a26-1326171-dbz-marketplace-online-ltd.html
2026-05-13,A25-1278659,,Agriculture and Horticulture Development Board,environmental,https://www.asa.org.uk/rulings/agriculture-and-horticulture-development-board--a25-1278659--agriculture-and-horticulture-development-board.html
2026-05-13,A26-1325032,Upheld,Linjer Ltd,carbon,https://www.asa.org.uk/rulings/linjer-ltd-a26-1325032-linjer-ltd.html
2026-05-13,A26-1325029,Upheld,Novita Diamonds Ltd,carbon,https://www.asa.org.uk/rulings/novita-diamonds-ltd-a26-1325029-novita-diamonds-ltd.html
2026-05-06,A25-1317723,Upheld,GLP-1 Pro Ltd,sustainable,https://www.asa.org.uk/rulings/glp-1-pro-ltd-a25-1317723-glp-1-pro-ltd.html
2026-04-29,A26-1327840,Upheld,Gismart Ltd,green,https://www.asa.org.uk/rulings/gismart-ltd-a26-1327840-gismart-ltd.html
2026-04-29,A25-1317807,Upheld,Beiersdorf UK Ltd,climate,https://www.asa.org.uk/rulings/beiersdorf-uk-ltd-a25-1317807-beiersdorf-uk-ltd-.html
2026-04-22,A25-1316858,Upheld,Shop TJC Ltd,green,https://www.asa.org.uk/rulings/shop-tjc-ltd--a25-1316858-shop-tjc-ltd.html
2026-04-22,A26-1326698,Upheld,Ecoflow Innovation UK,sustainable,https://www.asa.org.uk/rulings/ecoflow-innovation-uk-a26-1326698-ecoflow-innovation-uk.html
2026-04-22,A25-1316838,Upheld,L'Oréal (UK) Ltd,sustainable,https://www.asa.org.uk/rulings/l-oreal-uk-ltd-a25-1316838-l-oreal-uk-ltd.html
2026-04-15,A26-1324901,Upheld,On The Beach Ltd,climate,https://www.asa.org.uk/rulings/on-the-beach-ltd-a26-1324901-on-the-beach-ltd.html
2026-03-25,A26-1327600,Upheld,Mark Anthony Brands (UK) Ltd,green,https://www.asa.org.uk/rulings/mark-anthony-brands--uk--ltd-a26-1327600-mark-anthony-brands--uk--ltd.html
2026-03-18,A25-1317645,Upheld,Digital Vapers,green,https://www.asa.org.uk/rulings/digital-vapers-a25-1317645-digital-vapers.html
2026-03-18,A25-1313854,Upheld,Grind Coffee Roasters Ltd,recyclable,https://www.asa.org.uk/rulings/grind-coffee-roasters-ltd-a25-1313854-grind-coffee-roasters-ltd.html
2026-03-11,A24-1261050,Upheld,ZOE Ltd,environmental,https://www.asa.org.uk/rulings/zoe-ltd-a24-1261050-zoe-ltd-1.html
2026-03-04,A25-1295064,Upheld,British Gas Services Ltd,green,https://www.asa.org.uk/rulings/british-gas-services-ltd-a25-1295064-british-gas-services-ltd.html
2026-03-04,A25-1295069,Upheld,Centrica Hive Ltd,green,https://www.asa.org.uk/rulings/centrica-hive-ltd-a25-1295069-centrica-hive-ltd.html
2026-02-25,A25-1314135,Upheld,WashWater UK Ltd,environmental,https://www.asa.org.uk/rulings/washwater-uk-ltd-a25-1314135-washwater-uk-ltd.html
2026-02-11,A25-1317917,Upheld,ZING Oral Care Ltd,green,https://www.asa.org.uk/rulings/zing-oral-care-ltd-a25-1317917-zing-oral-care-ltd.html
2026-02-11,G25-1318848,Upheld,The Walt Disney Company Ltd,green,https://www.asa.org.uk/rulings/the-walt-disney-company-ltd-g25-1318848-the-walt-disney-company-ltd.html
2026-02-04,A25-1309689,Upheld,Kit & Kin Ltd,environmental,https://www.asa.org.uk/rulings/kit---kin-ltd-a25-1309689-kit---kin-ltd.html
2026-02-04,A25-1316071,Upheld,The Cheeky Panda Ltd,environmental,https://www.asa.org.uk/rulings/the-cheeky-panda-ltd-a25-1316071-the-cheeky-panda-ltd.html
2026-01-21,A25-1306576,Upheld,JD Tanning UK Ltd,sustainable,https://www.asa.org.uk/rulings/jd-tanning-uk-ltd-a25-1306576-jd-tanning-uk-ltd.html
2026-01-21,A25-1306587,Upheld,The Sun Company (Horsham) Ltd,climate,https://www.asa.org.uk/rulings/the-sun-company--horsham--ltd-a25-1306587-the-sun-company--horsham--ltd.html
2025-12-10,A25-1303989,Upheld,Healthbio Ltd,sustainable,https://www.asa.org.uk/rulings/healthbio-ltd-a25-1303989-healthbio-ltd.html
2025-12-03,A25-1309100,Upheld,Nike Retail BV,environmental,https://www.asa.org.uk/rulings/nike-retail-bv-a25-1309100-nike-retail-bv.html
2025-12-03,A25-1309097,Upheld,Lacoste E-commerce,environmental,https://www.asa.org.uk/rulings/lacoste-e-commerce-a25-1309097-lacoste-e-commerce.html
2025-12-03,A25-1309101,Upheld,Supergroup Internet Ltd,environmental,https://www.asa.org.uk/rulings/supergroup-internet-ltd-a25-1309101-supergroup-internet-ltd.html
2025-11-26,A25-1295074,Upheld,GGRS Energie Ltd,green,https://www.asa.org.uk/rulings/ggrs-energie-ltd-a25-1295074-ggrs-energie-ltd.html
2025-11-26,A25-1295070,Upheld,Good Energy Ltd,green,https://www.asa.org.uk/rulings/good-energy-ltd-a25-1295070-good-energy-ltd.html
2025-11-12,A25-1300448,Upheld,Select Specs Ltd,green,https://www.asa.org.uk/rulings/select-specs-ltd-a25-1300448-select-specs-ltd.html
2025-11-05,A25-1292745,Upheld,Stove Industry Alliance Ltd,environmental,https://www.asa.org.uk/rulings/stove-industry-alliance-ltd-a25-1292745-stove-industry-alliance-ltd.html
2025-11-05,G25-1297841,Upheld,Banquist Ltd,green,https://www.asa.org.uk/rulings/banquist-ltd-g25-1297841-banquist-ltd.html
2025-10-22,A25-1292429,Upheld,Betway Ltd,climate,https://www.asa.org.uk/rulings/betway-ltd-a25-1292429-betway-ltd.html
2025-10-22,A23-1189938,Upheld,Bonne Terre Ltd,climate,https://www.asa.org.uk/rulings/bonne-terre-ltd-a23-1189938-bonne-terre-ltd-1.html
2025-10-22,A24-1252292,Upheld,Eaton Gate Gaming Ltd,climate,https://www.asa.org.uk/rulings/eaton-gate-gaming-ltd-a24-1252292-eaton-gate-gaming-ltd.html
2025-10-15,A23-1199608,Upheld,Assured Food Standards,environmental,https://www.asa.org.uk/rulings/assured-food-standards-a23-1199608-assured-food-standards.html
2025-10-01,A25-1288971,Upheld,Shell Energy UK,environmental,https://www.asa.org.uk/rulings/shell-energy-uk-a25-1288971-shell-energy-uk-ltd.html
2025-09-24,A25-1299250,Upheld,Voodoo Doll Ltd,climate,https://www.asa.org.uk/rulings/voodoo-doll-ltd.html
2025-09-17,A25-1296023,Upheld,Simmer Ltd,climate,https://www.asa.org.uk/rulings/simmer-ltd-a25-1296023-simmer-ltd.html
2025-09-03,A25-1284421,Upheld,www.Cruise.co.uk Ltd,environmental,https://www.asa.org.uk/rulings/www-cruise-co-uk-ltd-a25-1284421-www-cruise-co-uk-ltd.html
2025-09-03,A25-1288069,Upheld,Sunshine Cruise Holidays Ltd,environmental,https://www.asa.org.uk/rulings/sunshine-cruise-holidays-ltd-a25-1288069-sunshine-cruise-holidays-ltd.html
2025-09-03,A25-1284422,Upheld,TravelCircle Ltd,environmental,https://www.asa.org.uk/rulings/travelcircle-ltd-a25-1284422-travelcircle-ltd.html
2025-09-03,A25-1286496,Upheld,Barrhead Travel Service Ltd,environmental,https://www.asa.org.uk/rulings/barrhead-travel-service-ltd-a25-1286496-barrhead-travel-service-ltd.html
2025-08-27,A25-1281126,Upheld,Contact Solar Ltd,green,https://www.asa.org.uk/rulings/contact-solar-ltd.html
2025-08-27,A25-1286109,Upheld,Formulapower/fuelcat Ltd,carbon,https://www.asa.org.uk/rulings/formulapower-fuelcat-ltd.html
2025-08-20,A25-1284566,Upheld,Lloyds Bank plc,sustainable,https://www.asa.org.uk/rulings/lloyds-bank-plc-a25-1284566-lloyds-bank-plc.html
2025-08-06,G24-1238345,Upheld,Amazon Europe Core Sarl,green,https://www.asa.org.uk/rulings/amazon-europe-core-sarl-g24-1238345-amazon-europe-core-sarl.html
2025-08-06,G25-1282261,Upheld,We Buy Any Car Ltd,green,https://www.asa.org.uk/rulings/we-buy-any-car-ltd-g25-1282261-we-buy-any-car-ltd.html
2025-08-06,A25-1281131,Upheld,Energystore Ltd,green,https://www.asa.org.uk/rulings/energystore-ltd-a25-1281131-energystore-ltd.html
2025-08-06,A25-1281257,Upheld,The Clean Supps LLC,sustainable,https://www.asa.org.uk/rulings/the-clean-supps-llc-a25-1281257-the-clean-supps-llc.html
2025-07-30,G24-1271647,Upheld,Octopus Energy Ltd,green,https://www.asa.org.uk/rulings/octopus-energy-ltd-g24-1271647-octopus-energy-ltd.html
2025-07-30,A24-1251814,Upheld,Viridian International Ltd,carbon,https://www.asa.org.uk/rulings/viridian-international-ltd-a24-1251814-viridian-international-ltd.html
2025-07-16,A25-1290344,Upheld,Mecca Bingo Ltd,green,https://www.asa.org.uk/rulings/mecca-bingo-ltd-a25-1290344-mecca-bingo-ltd.html
2025-07-09,A24-1250237,Upheld,Aramco Overseas Oil Company BV,environmental,https://www.asa.org.uk/rulings/aramco-overseas-oil-company-bv-a24-1250237-aramco-overseas-oil-company-bv.html
2025-07-09,A25-1278530,Not upheld,Monzo Bank Ltd,green,https://www.asa.org.uk/rulings/monzo-bank-ltd-a25-1278530-monzo-bank-ltd.html
2025-07-09,A25-1275267,Upheld,GoBrands Euro Intermediate Holdings SARL,green,https://www.asa.org.uk/rulings/gobrands-euro-intermediate-holdings-sarl-a25-1275267-gobrands-euro-intermediate-holdings-sarl.html
2025-07-09,A24-1264775,Upheld,Chequp Health Ltd,sustainable,https://www.asa.org.uk/rulings/chequp-health-ltd-a24-1264775-chequp-health-ltd.html
2025-07-09,A25-1287166,Upheld,Glamour Shots,climate,https://www.asa.org.uk/rulings/glamour-shots-a25-1287166-glamour-shots.html
2025-07-02,G25-1285500,Upheld,Kenvue UK Ltd,green,https://www.asa.org.uk/rulings/kenvue-uk-ltd-g25-1285500-kenvue-uk-ltd.html
2025-06-25,A25-1274162,Upheld,SaffPro,climate,https://www.asa.org.uk/rulings/saffpro.html
2025-05-21,A24-1253564,Upheld,EE Ltd,environmental,https://www.asa.org.uk/rulings/ee-ltd-a24-1253564-ee-ltd.html
2025-05-07,G24-1260091,Not upheld,Royal Society for the Prevention of Cruelty to Animals,environmental,https://www.asa.org.uk/rulings/royal-society-for-the-prevention-of-cruelty-to-animals-g24-1260091-royal-society-for-the-prevention-of-cruelty-to-animals.html
2025-05-07,A24-1270983,Upheld,Rosenthal Capital Ltd,sustainable,https://www.asa.org.uk/rulings/rosenthal-capital-ltd-a24-1270983-rosenthal-capital-ltd.html
2025-04-30,A24-1248756,Upheld,Lavazza Coffee (UK) Ltd,environmental,https://www.asa.org.uk/rulings/lavazza-coffee-uk-ltd.html
2025-04-23,A24-1265573,Upheld,Octopus Energy Ltd,green,https://www.asa.org.uk/rulings/octopus-energy-ltd-a24-1265573-octopus-energy-ltd.html
2025-04-16,A24-1266131,Upheld,Pressplay Ltd,green,https://www.asa.org.uk/rulings/pressplay-ltd-a24-1266131-pressplay-ltd.html
