date,docket,company_case,keyword,url
2026-05-07,251-0058-valvoline-i,"Valvoline Inc./Greenbriar Equity Fund V, L.P",green guides,https://www.ftc.gov/legal-library/browse/cases-proceedings/251-0058-valvoline-incgreenbriar-equity-fund-v-lp
2025-04-08,161-0215-enbridge-sp,Enbridge and Spectra Energy,green guides,https://www.ftc.gov/legal-library/browse/cases-proceedings/161-0215-enbridge-spectra-energy
2022-05-04,2023171-kohls-inc-us,"Kohl's Inc., U.S. v.",environmental,https://www.ftc.gov/legal-library/browse/cases-proceedings/2023171-kohls-inc-us-v
2022-04-08,2023173-walmart-us-v,"Walmart, U.S. v.",environmental,https://www.ftc.gov/legal-library/browse/cases-proceedings/2023173-walmart-us-v
2021-07-16,182-3201-environment,"Environmental Safety International, Inc.",environmental,https://www.ftc.gov/legal-library/browse/cases-proceedings/182-3201-environmental-safety-international-inc
2021-07-12,192-3154-moneta-mana,Moneta Management Inc.,green guides,https://www.ftc.gov/legal-library/browse/cases-proceedings/192-3154-moneta-management-inc
2020-08-14,201-0074-tri-star-en,"Tri Star Energy and Hollingsworth Oil, In the Matter of",green guides,https://www.ftc.gov/legal-library/browse/cases-proceedings/201-0074-tri-star-energy-hollingsworth-oil-matter
2020-04-09,1910160-agnaten-se-c,"Agnaten SE, Compassion First, and NVA, In the Matter of",green guides,https://www.ftc.gov/legal-library/browse/cases-proceedings/1910160-agnaten-se-compassion-first-nva-matter
2017-03-28,132-3001-x130040-fai,Fair Guide (Construct Data Publishers d/b/a Fair Guide),green guides,https://www.ftc.gov/legal-library/browse/cases-proceedings/132-3001-x130040-fair-guide-construct-data-publishers-dba-fair-guide
2016-11-14,132-3116-x140025-npb,"NPB Advertising, Inc., et al.",green guides,https://www.ftc.gov/legal-library/browse/cases-proceedings/132-3116-x140025-npb-advertising-inc-et-al
2014-04-30,122-3103-green-foot-,"Green Foot Global, LLC, d/b/a Green Foot Global, Greenfoot Global, GFG, GFG Commercial, GFG Industrial, www.GreenFootGlobal.com, GFG Fuel Tech, LLC, and GWO Network",green guides,https://www.ftc.gov/legal-library/browse/cases-proceedings/122-3103-green-foot-global-llc-dba-green-foot-global-greenfoot-global-gfg-gfg-commercial-gfg-industrial
2013-09-25,122-3199-x130002-gre,"Greensavers, LLC d/b/a Elite Services and Advanced Data Solutions, et al.",green guides,https://www.ftc.gov/legal-library/browse/cases-proceedings/122-3199-x130002-greensavers-llc-dba-elite-services-advanced-data-solutions-et-al
2011-03-01,102-3064-nonprofit-m,"Nonprofit Management LLC, also d/b/a Tested Green, et al., In the Matter of",green guides,https://www.ftc.gov/legal-library/browse/cases-proceedings/102-3064-nonprofit-management-llc-also-dba-tested-green-et-al-matter
2009-01-13,072-3201-market-deve,"Market Development Specialists, Inc., a corporation, also d/b/a Wintergreen Systems, et al.",green guides,https://www.ftc.gov/legal-library/browse/cases-proceedings/072-3201-market-development-specialists-inc-corporation-also-dba-wintergreen-systems-et-al
2008-12-10,0810170-red-sky-hold,"Red Sky Holdings LP, and Newpark Resources, Inc., In the Matter of",environmental,https://www.ftc.gov/legal-library/browse/cases-proceedings/0810170-red-sky-holdings-lp-newpark-resources-inc-matter
